title,artist,url
QUE PRETENDES,"J Balvin, Bad Bunny",https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
Tão Linda,Atitude 67,https://open.spotify.com/track/59WWulo1LM0njpIkcduCMn
Nisida,Capo Plaza,https://open.spotify.com/track/2bEzFrrZO5MMBjenGHxZYX
Rasputin,"Majestic, Boney M.",https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
Dusk Till Dawn - Radio Edit,"ZAYN, Sia",https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
Tonta,"R.K.M & Ken-Y, Natti Natasha",https://open.spotify.com/track/5ZjJT7BB8OoVjyRZRYGen8
What You Know Bout Love,Pop Smoke,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
It's the Most Wonderful Time of the Year,Andy Williams,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
No Bailes Sola,"Danna Paola, Sebastian Yatra",https://open.spotify.com/track/411nmd0QMzty1UjCWSo3rc
Love Someone,Lukas Graham,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ
Good As Hell,Lizzo,https://open.spotify.com/track/6uAm7pG66O1XesXS9bpHSF
Fumo Da Solo,Izi,https://open.spotify.com/track/4sYbBt781iAS2S76IeMwIG
Fugtig,Ude Af Kontrol,https://open.spotify.com/track/3k6n8FdhntF9nzQpVn0OFs
Online,SNIK,https://open.spotify.com/track/0wOsbCajTcYcXy4fpUlPIC
Don't Know What To Do,BLACKPINK,https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X
Be Alright,Dean Lewis,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
L'ancien,Heuss L'enfoiré,https://open.spotify.com/track/6Q9ttfdNjmIzxNHJmvRgcn
+44,lil krystalll,https://open.spotify.com/track/1ngGGsWzGONyiOlxdXRDr7
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
Look What You Made Me Do,Taylor Swift,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il
Thunder,"Gabry Ponte, LUM!X, Prezioso",https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
Falling,Trevor Daniel,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
Señorita,"Shawn Mendes, Camila Cabello",https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
Chivas,"KKevin, G.w.M.",https://open.spotify.com/track/0QHPrNPQ7lSJUGjJ3z2Brq
Round And Round,"HEIZE, Han Suji",https://open.spotify.com/track/3vAncbML0jhNrp63DKhsCo
Supalonely,"BENEE, Gus Dapperton",https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers",https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
願い,sumika,https://open.spotify.com/track/0ophTl8mevsVgtH7V0XV0g
How Do You Sleep?,Sam Smith,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
LOCATION,"KAROL G, Anuel AA, J Balvin",https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
Promises (with Sam Smith),"Calvin Harris, Jessie Reyez",https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
Therefore I Am,Billie Eilish,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
Мама,"Scriptonite, FEDUK, Truwer, Niman, Basta",https://open.spotify.com/track/1ObkdnvGTddLjHmk7jgsFD
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
ZEZE (feat. Travis Scott & Offset),Kodak Black,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
Fantasias - Unplugged,"Rauw Alejandro, Farruko",https://open.spotify.com/track/6qqd7DGn2VXzxsR4k3Ycun
Te Amo,"Piso 21, Paulo Londra",https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
Intentions (feat. Quavo),Justin Bieber,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
旅路,Fujii Kaze,https://open.spotify.com/track/1EM9pvygHqQm03as6sxLg9
Never Seen the Rain,Tones And I,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
