,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist_name
25ZAibhr3bdlMCLmubZDVt,0.639,0.791,10,-4.443,0,0.253,0.0275,0,0.362,0.939,92.603,audio_features,25ZAibhr3bdlMCLmubZDVt,spotify:track:25ZAibhr3bdlMCLmubZDVt,https://api.spotify.com/v1/tracks/25ZAibhr3bdlMCLmubZDVt,https://api.spotify.com/v1/audio-analysis/25ZAibhr3bdlMCLmubZDVt,222347,4,que pretendes,"j balvin, bad bunny"
59WWulo1LM0njpIkcduCMn,0.877,0.557,9,-9.074,1,0.0911,0.169,0,0.265,0.829,152.874,audio_features,59WWulo1LM0njpIkcduCMn,spotify:track:59WWulo1LM0njpIkcduCMn,https://api.spotify.com/v1/tracks/59WWulo1LM0njpIkcduCMn,https://api.spotify.com/v1/audio-analysis/59WWulo1LM0njpIkcduCMn,147843,4,tão linda,atitude 67
0q9Vpg3DLMjm9rx5LnXwXE,0.866,0.448,1,-10.226,1,0.328,0.0492,0,0.0784,0.342,119.974,audio_features,0q9Vpg3DLMjm9rx5LnXwXE,spotify:track:0q9Vpg3DLMjm9rx5LnXwXE,https://api.spotify.com/v1/tracks/0q9Vpg3DLMjm9rx5LnXwXE,https://api.spotify.com/v1/audio-analysis/0q9Vpg3DLMjm9rx5LnXwXE,236000,4,nisida,capo plaza
0b18g3G5spr4ZCkz7Y6Q0Q,0.758,0.913,6,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,audio_features,0b18g3G5spr4ZCkz7Y6Q0Q,spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q,https://api.spotify.com/v1/tracks/0b18g3G5spr4ZCkz7Y6Q0Q,https://api.spotify.com/v1/audio-analysis/0b18g3G5spr4ZCkz7Y6Q0Q,186210,4,rasputin,"majestic, boney m."
3e7sxremeOE3wTySiOhGiP,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,audio_features,3e7sxremeOE3wTySiOhGiP,spotify:track:3e7sxremeOE3wTySiOhGiP,https://api.spotify.com/v1/tracks/3e7sxremeOE3wTySiOhGiP,https://api.spotify.com/v1/audio-analysis/3e7sxremeOE3wTySiOhGiP,239000,4,dusk till dawn - radio edit,"zayn, sia"
5ZjJT7BB8OoVjyRZRYGen8,0.671,0.794,10,-5.16,0,0.0533,0.214,0.000517,0.173,0.763,171.977,audio_features,5ZjJT7BB8OoVjyRZRYGen8,spotify:track:5ZjJT7BB8OoVjyRZRYGen8,https://api.spotify.com/v1/tracks/5ZjJT7BB8OoVjyRZRYGen8,https://api.spotify.com/v1/audio-analysis/5ZjJT7BB8OoVjyRZRYGen8,240000,4,tonta,"r.k.m & ken-y, natti natasha"
1tkg4EHVoqnhR6iFEXb60y,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,audio_features,1tkg4EHVoqnhR6iFEXb60y,spotify:track:1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/tracks/1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/audio-analysis/1tkg4EHVoqnhR6iFEXb60y,160000,4,what you know bout love,pop smoke
5hslUAKq9I9CG2bAulFkHN,0.24,0.598,7,-8.435,1,0.0369,0.766,0,0.117,0.776,201.629,audio_features,5hslUAKq9I9CG2bAulFkHN,spotify:track:5hslUAKq9I9CG2bAulFkHN,https://api.spotify.com/v1/tracks/5hslUAKq9I9CG2bAulFkHN,https://api.spotify.com/v1/audio-analysis/5hslUAKq9I9CG2bAulFkHN,151933,3,it's the most wonderful time of the year,andy williams
1GNSWpe2SB30zYGbNTD96b,0.598,0.734,10,-3.982,1,0.116,0.208,0,0.272,0.621,179.885,audio_features,1GNSWpe2SB30zYGbNTD96b,spotify:track:1GNSWpe2SB30zYGbNTD96b,https://api.spotify.com/v1/tracks/1GNSWpe2SB30zYGbNTD96b,https://api.spotify.com/v1/audio-analysis/1GNSWpe2SB30zYGbNTD96b,180867,4,no bailes sola,"danna paola, sebastian yatra"
0OCRwXbQRdOZ1OtB4Imsp1,0.538,0.409,9,-6.581,0,0.0505,0.172,0,0.11,0.265,171.838,audio_features,0OCRwXbQRdOZ1OtB4Imsp1,spotify:track:0OCRwXbQRdOZ1OtB4Imsp1,https://api.spotify.com/v1/tracks/0OCRwXbQRdOZ1OtB4Imsp1,https://api.spotify.com/v1/audio-analysis/0OCRwXbQRdOZ1OtB4Imsp1,205440,4,love someone,lukas graham
6KgBpzTuTRPebChN0VTyzV,0.682,0.919,0,-3.18,0,0.0875,0.256,0,0.442,0.535,95.982,audio_features,6KgBpzTuTRPebChN0VTyzV,spotify:track:6KgBpzTuTRPebChN0VTyzV,https://api.spotify.com/v1/tracks/6KgBpzTuTRPebChN0VTyzV,https://api.spotify.com/v1/audio-analysis/6KgBpzTuTRPebChN0VTyzV,159736,4,good as hell,lizzo
6uMdn1ovj2ZRHGMbiTQAvy,0.708,0.604,7,-8.477,0,0.0489,0.279,0,0.14,0.463,140.092,audio_features,6uMdn1ovj2ZRHGMbiTQAvy,spotify:track:6uMdn1ovj2ZRHGMbiTQAvy,https://api.spotify.com/v1/tracks/6uMdn1ovj2ZRHGMbiTQAvy,https://api.spotify.com/v1/audio-analysis/6uMdn1ovj2ZRHGMbiTQAvy,220071,4,fumo da solo,izi
3k6n8FdhntF9nzQpVn0OFs,0.938,0.897,9,-6.068,1,0.253,0.128,0,0.0887,0.685,128.043,audio_features,3k6n8FdhntF9nzQpVn0OFs,spotify:track:3k6n8FdhntF9nzQpVn0OFs,https://api.spotify.com/v1/tracks/3k6n8FdhntF9nzQpVn0OFs,https://api.spotify.com/v1/audio-analysis/3k6n8FdhntF9nzQpVn0OFs,133125,4,fugtig,ude af kontrol
2DcxTfOm8y2UgeP81qdidR,0.552,0.982,9,-3.227,1,0.0484,0.00456,0,0.337,0.664,98.458,audio_features,2DcxTfOm8y2UgeP81qdidR,spotify:track:2DcxTfOm8y2UgeP81qdidR,https://api.spotify.com/v1/tracks/2DcxTfOm8y2UgeP81qdidR,https://api.spotify.com/v1/audio-analysis/2DcxTfOm8y2UgeP81qdidR,145733,4,online,snik
38SKB7UfhL6Sd6Joxex5yK,0.628,0.64,6,-4.164,0,0.0491,0.0992,0,0.138,0.409,129.815,audio_features,38SKB7UfhL6Sd6Joxex5yK,spotify:track:38SKB7UfhL6Sd6Joxex5yK,https://api.spotify.com/v1/tracks/38SKB7UfhL6Sd6Joxex5yK,https://api.spotify.com/v1/audio-analysis/38SKB7UfhL6Sd6Joxex5yK,201081,4,don't know what to do,blackpink
3EPXxR3ImUwfayaurPi3cm,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,audio_features,3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,196373,4,be alright,dean lewis
